customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment
CUST-00100,27,3,13479.98,4,3,3,10,Growing
CUST-00101,202,2,19005.04,1,2,3,6,Occasional
CUST-00102,153,1,3148.35,2,1,1,4,At Risk
CUST-00103,27,3,20477.55,4,3,4,11,Champions
CUST-00104,1,3,37552.42,4,3,4,11,Champions
CUST-00106,1,2,19229.660000000003,4,2,4,10,Growing
CUST-00107,202,2,3691.8,1,2,1,4,At Risk
CUST-00108,1,4,10741.960000000001,4,4,3,11,Champions
CUST-00109,202,2,11671.26,1,2,3,6,Occasional
CUST-00110,1,2,14757.97,4,2,3,9,Growing
CUST-00111,27,2,12202.869999999999,4,2,3,9,Growing
CUST-00112,1,4,18932.24,4,4,3,11,Champions
CUST-00113,153,2,8284.6,2,2,2,6,Occasional
CUST-00114,1,1,4865.62,4,1,1,6,Occasional
CUST-00115,27,5,42604.78,4,4,4,12,Champions
CUST-00116,27,4,23899.629999999997,4,4,4,12,Champions
CUST-00117,90,3,5996.51,3,3,2,8,Occasional
CUST-00118,269,1,1430.93,1,1,1,3,At Risk
CUST-00119,51,3,2171.17,3,3,1,7,Occasional
CUST-00120,90,1,8192.68,3,1,2,6,Occasional
CUST-00121,51,4,16298.34,3,4,3,10,Growing
CUST-00122,51,1,1440.44,3,1,1,5,At Risk
CUST-00124,27,1,9155.0,4,1,2,7,Occasional
CUST-00126,27,3,13481.97,4,3,3,10,Growing
CUST-00127,90,5,45626.12,3,4,4,11,Champions
CUST-00128,1,5,16324.97,4,4,3,11,Champions
CUST-00129,153,2,12938.18,2,2,3,7,Occasional
CUST-00130,27,3,17403.02,4,3,3,10,Growing
CUST-00131,1,3,10499.65,4,3,3,10,Growing
CUST-00132,27,3,4991.05,4,3,2,9,Growing
CUST-00133,1,1,14382.26,4,1,3,8,Occasional
CUST-00134,1,3,9295.9,4,3,2,9,Growing
CUST-00135,1,2,14040.89,4,2,3,9,Growing
CUST-00136,27,3,6684.29,4,3,2,9,Growing
CUST-00137,1,1,8050.02,4,1,2,7,Occasional
CUST-00138,27,7,29505.649999999998,4,4,4,12,Champions
CUST-00139,178,1,7078.94,1,1,2,4,At Risk
CUST-00140,1,5,33925.04,4,4,4,12,Champions
CUST-00141,27,2,11747.58,4,2,3,9,Growing
CUST-00142,1,3,36898.79,4,3,4,11,Champions
CUST-00143,1,2,15550.170000000002,4,2,3,9,Growing
CUST-00144,27,3,17990.65,4,3,3,10,Growing
CUST-00145,269,2,27221.27,1,2,4,7,Occasional
CUST-00146,1,2,15867.12,4,2,3,9,Growing
CUST-00147,27,2,8012.78,4,2,2,8,Occasional
CUST-00148,51,1,711.05,3,1,1,5,At Risk
CUST-00150,1,3,39966.05,4,3,4,11,Champions
CUST-00151,1,3,33649.16,4,3,4,11,Champions
CUST-00152,269,2,17379.57,1,2,3,6,Occasional
CUST-00153,115,3,21604.02,2,3,4,9,Growing
CUST-00155,27,2,8275.57,4,2,2,8,Occasional
CUST-00156,51,3,9298.04,3,3,2,8,Occasional
CUST-00157,1,5,21526.91,4,4,4,12,Champions
CUST-00158,27,1,11643.62,4,1,3,8,Occasional
CUST-00159,178,2,9015.7,1,2,2,5,At Risk
CUST-00160,178,1,12010.51,1,1,3,5,At Risk
CUST-00161,1,3,29210.769999999997,4,3,4,11,Champions
CUST-00162,51,1,55.25,3,1,1,5,At Risk
CUST-00163,223,1,1062.74,1,1,1,3,At Risk
CUST-00164,223,1,2180.0,1,1,1,3,At Risk
CUST-00165,90,2,4469.83,3,2,1,6,Occasional
CUST-00166,115,1,1626.22,2,1,1,4,At Risk
CUST-00168,1,3,34524.26,4,3,4,11,Champions
CUST-00169,27,1,9857.29,4,1,2,7,Occasional
CUST-00170,178,1,4928.18,1,1,2,4,At Risk
CUST-00172,178,3,27045.68,1,3,4,8,Occasional
CUST-00173,51,3,5044.34,3,3,2,8,Occasional
CUST-00174,27,1,2603.29,4,1,1,6,Occasional
CUST-00175,1,3,18030.629999999997,4,3,3,10,Growing
CUST-00177,269,1,7505.63,1,1,2,4,At Risk
CUST-00178,27,3,8732.27,4,3,2,9,Growing
CUST-00179,51,3,17808.72,3,3,3,9,Growing
CUST-00180,27,1,5841.14,4,1,2,7,Occasional
CUST-00182,90,3,13313.83,3,3,3,9,Growing
CUST-00183,1,2,13860.08,4,2,3,9,Growing
CUST-00184,153,4,11046.91,2,4,3,9,Growing
CUST-00185,202,2,6092.96,1,2,2,5,At Risk
CUST-00186,51,2,3144.06,3,2,1,6,Occasional
CUST-00187,51,3,12871.15,3,3,3,9,Growing
CUST-00188,115,2,12746.970000000001,2,2,3,7,Occasional
CUST-00189,51,2,2921.09,3,2,1,6,Occasional
CUST-00190,27,4,21315.02,4,4,4,12,Champions
CUST-00191,178,2,9363.81,1,2,2,5,At Risk
CUST-00192,27,5,22985.309999999998,4,4,4,12,Champions
CUST-00193,1,3,70791.55,4,3,4,11,Champions
CUST-00194,1,5,11163.5,4,4,3,11,Champions
CUST-00196,178,1,4975.61,1,1,2,4,At Risk
CUST-00197,27,2,3621.06,4,2,1,7,Occasional
CUST-00198,51,3,23358.04,3,3,4,10,Growing
CUST-00199,153,3,31238.129999999997,2,3,4,9,Growing
CUST-00200,269,1,16389.04,1,1,3,5,At Risk
CUST-00201,115,2,7478.4800000000005,2,2,2,6,Occasional
CUST-00202,178,3,17780.02,1,3,3,7,Occasional
CUST-00203,269,1,1713.58,1,1,1,3,At Risk
CUST-00204,153,1,6574.26,2,1,2,5,At Risk
CUST-00206,51,2,2536.37,3,2,1,6,Occasional
CUST-00207,51,4,18291.03,3,4,3,10,Growing
CUST-00208,1,3,16409.4,4,3,3,10,Growing
CUST-00209,115,2,12573.640000000001,2,2,3,7,Occasional
CUST-00210,90,4,41460.66,3,4,4,11,Champions
CUST-00211,51,2,5611.41,3,2,2,7,Occasional
CUST-00212,90,3,8072.959999999999,3,3,2,8,Occasional
CUST-00213,246,1,1163.14,1,1,1,3,At Risk
CUST-00214,90,1,8678.59,3,1,2,6,Occasional
CUST-00215,27,2,3922.49,4,2,1,7,Occasional
CUST-00216,295,1,2112.82,1,1,1,3,At Risk
CUST-00217,1,2,8130.61,4,2,2,8,Occasional
CUST-00218,178,3,26448.33,1,3,4,8,Occasional
CUST-00219,295,1,7186.31,1,1,2,4,At Risk
CUST-00220,153,2,6622.15,2,2,2,6,Occasional
CUST-00221,27,2,11787.03,4,2,3,9,Growing
CUST-00222,1,3,8926.42,4,3,2,9,Growing
CUST-00223,246,2,5336.91,1,2,2,5,At Risk
CUST-00224,90,2,2311.51,3,2,1,6,Occasional
CUST-00225,90,4,13030.55,3,4,3,10,Growing
CUST-00226,27,3,41456.3,4,3,4,11,Champions
CUST-00227,1,4,34589.99,4,4,4,12,Champions
CUST-00228,27,2,8407.73,4,2,2,8,Occasional
CUST-00229,1,3,31567.62,4,3,4,11,Champions
CUST-00230,1,2,10139.61,4,2,2,8,Occasional
CUST-00231,51,1,567.34,3,1,1,5,At Risk
CUST-00232,1,1,4564.45,4,1,1,6,Occasional
CUST-00233,115,1,4161.89,2,1,1,4,At Risk
CUST-00234,27,2,4534.67,4,2,1,7,Occasional
CUST-00235,90,4,9931.41,3,4,2,9,Growing
CUST-00236,27,5,27934.45,4,4,4,12,Champions
CUST-00237,153,2,8785.66,2,2,2,6,Occasional
CUST-00238,90,3,7038.45,3,3,2,8,Occasional
CUST-00240,178,2,19412.670000000002,1,2,4,7,Occasional
CUST-00241,115,2,20399.41,2,2,4,8,Occasional
CUST-00242,90,3,19858.2,3,3,4,10,Growing
CUST-00243,27,4,8063.13,4,4,2,10,Growing
CUST-00244,90,3,5654.3099999999995,3,3,2,8,Occasional
CUST-00245,27,3,14839.95,4,3,3,10,Growing
CUST-00246,90,3,6620.53,3,3,2,8,Occasional
CUST-00247,115,2,9090.310000000001,2,2,2,6,Occasional
CUST-00248,153,1,4360.53,2,1,1,4,At Risk
CUST-00249,223,2,21810.98,1,2,4,7,Occasional
CUST-00250,27,2,2791.0699999999997,4,2,1,7,Occasional
CUST-00251,27,2,3281.46,4,2,1,7,Occasional
CUST-00252,90,2,3801.4799999999996,3,2,1,6,Occasional
CUST-00253,51,2,11051.720000000001,3,2,3,8,Occasional
CUST-00254,153,1,2560.17,2,1,1,4,At Risk
CUST-00255,202,2,13585.18,1,2,3,6,Occasional
CUST-00256,115,4,23614.52,2,4,4,10,Growing
CUST-00257,269,1,382.74,1,1,1,3,At Risk
CUST-00258,246,2,4194.21,1,2,1,4,At Risk
CUST-00259,51,3,17176.93,3,3,3,9,Growing
CUST-00260,1,4,42303.01,4,4,4,12,Champions
CUST-00261,178,1,3405.92,1,1,1,3,At Risk
CUST-00262,1,5,16323.76,4,4,3,11,Champions
CUST-00263,1,6,66391.86,4,4,4,12,Champions
CUST-00264,27,3,18068.13,4,3,3,10,Growing
CUST-00265,1,3,38422.99,4,3,4,11,Champions
CUST-00267,1,3,14156.060000000001,4,3,3,10,Growing
CUST-00268,115,1,3529.68,2,1,1,4,At Risk
CUST-00269,90,1,1547.68,2,1,1,4,At Risk
CUST-00270,246,1,1343.37,1,1,1,3,At Risk
CUST-00271,27,2,6049.219999999999,4,2,2,8,Occasional
CUST-00272,90,2,8019.07,2,2,2,6,Occasional
CUST-00273,223,1,337.9,1,1,1,3,At Risk
CUST-00274,115,4,46193.340000000004,2,4,4,10,Growing
CUST-00275,51,3,9755.06,3,3,2,8,Occasional
CUST-00276,90,4,10886.51,2,4,3,9,Growing
CUST-00277,51,1,548.82,3,1,1,5,At Risk
CUST-00278,153,2,17430.86,2,2,3,7,Occasional
CUST-00279,27,3,11570.11,4,3,3,10,Growing
CUST-00280,178,3,16519.59,1,3,3,7,Occasional
CUST-00281,178,2,43809.08,1,2,4,7,Occasional
CUST-00282,115,1,2995.11,2,1,1,4,At Risk
CUST-00283,153,3,6714.4400000000005,2,3,2,7,Occasional
CUST-00284,51,2,4765.64,3,2,1,6,Occasional
CUST-00286,202,2,15347.18,1,2,3,6,Occasional
CUST-00287,269,1,3473.9,1,1,1,3,At Risk
CUST-00288,90,3,8593.74,2,3,2,7,Occasional
CUST-00289,153,2,8822.58,2,2,2,6,Occasional
CUST-00290,51,3,4053.13,3,3,1,7,Occasional
CUST-00291,27,4,13585.76,4,4,3,11,Champions
CUST-00292,1,4,19686.23,4,4,4,12,Champions
CUST-00293,90,2,2586.46,2,2,1,5,At Risk
CUST-00294,90,2,8267.72,2,2,2,6,Occasional
CUST-00295,115,2,12479.48,2,2,3,7,Occasional
CUST-00296,202,2,6191.719999999999,1,2,2,5,At Risk
CUST-00297,51,4,13187.48,3,4,3,10,Growing
CUST-00298,153,1,11108.16,2,1,3,6,Occasional
CUST-00299,27,3,31656.45,4,3,4,11,Champions
CUST-00301,51,3,10233.34,3,3,2,8,Occasional
CUST-00302,51,1,734.72,3,1,1,5,At Risk
CUST-00303,90,1,2201.52,2,1,1,4,At Risk
CUST-00304,51,2,3503.59,3,2,1,6,Occasional
CUST-00305,27,4,6691.299999999999,4,4,2,10,Growing
CUST-00306,1,3,11108.53,4,3,3,10,Growing
CUST-00307,27,1,1421.12,4,1,1,6,Occasional
CUST-00308,90,2,19395.449999999997,2,2,4,8,Occasional
CUST-00310,90,4,17505.61,2,4,3,9,Growing
CUST-00311,1,2,49963.01,4,2,4,10,Growing
CUST-00312,1,3,12579.76,4,3,3,10,Growing
CUST-00313,27,3,6384.75,4,3,2,9,Growing
CUST-00314,51,2,3252.52,3,2,1,6,Occasional
CUST-00315,51,2,5909.43,3,2,2,7,Occasional
CUST-00316,1,3,14279.83,4,3,3,10,Growing
CUST-00317,1,5,23281.809999999998,4,4,4,12,Champions
CUST-00318,153,2,8550.02,2,2,2,6,Occasional
CUST-00319,1,5,17661.54,4,4,3,11,Champions
CUST-00320,246,1,4039.09,1,1,1,3,At Risk
CUST-00321,295,1,2987.88,1,1,1,3,At Risk
CUST-00322,1,1,12045.35,4,1,3,8,Occasional
CUST-00323,27,6,15615.67,4,4,3,11,Champions
CUST-00325,246,1,5970.87,1,1,2,4,At Risk
CUST-00326,178,2,11290.37,1,2,3,6,Occasional
CUST-00327,153,2,12271.24,2,2,3,7,Occasional
CUST-00328,295,1,4424.5,1,1,1,3,At Risk
CUST-00329,27,2,8454.83,4,2,2,8,Occasional
CUST-00330,269,2,4791.61,1,2,1,4,At Risk
CUST-00332,223,1,475.46,1,1,1,3,At Risk
CUST-00333,246,1,956.94,1,1,1,3,At Risk
CUST-00335,27,1,2609.64,4,1,1,6,Occasional
CUST-00336,246,1,554.53,1,1,1,3,At Risk
CUST-00337,246,2,3778.55,1,2,1,4,At Risk
CUST-00338,51,2,2330.38,3,2,1,6,Occasional
CUST-00339,115,2,14167.279999999999,2,2,3,7,Occasional
CUST-00340,1,4,33872.18,4,4,4,12,Champions
CUST-00341,27,2,11777.439999999999,4,2,3,9,Growing
CUST-00342,1,3,24011.93,4,3,4,11,Champions
CUST-00343,1,4,7589.0,4,4,2,10,Growing
CUST-00344,1,3,11274.759999999998,4,3,3,10,Growing
CUST-00345,178,2,11649.75,1,2,3,6,Occasional
CUST-00346,90,3,13519.4,2,3,3,8,Occasional
CUST-00347,1,3,24194.02,4,3,4,11,Champions
CUST-00349,27,4,13407.05,4,4,3,11,Champions
CUST-00350,1,3,20292.33,4,3,4,11,Champions
CUST-00352,51,2,4175.9400000000005,3,2,1,6,Occasional
CUST-00354,223,1,577.07,1,1,1,3,At Risk
CUST-00355,115,1,6203.31,2,1,2,5,At Risk
CUST-00356,90,4,18221.51,2,4,3,9,Growing
CUST-00357,269,1,3938.56,1,1,1,3,At Risk
CUST-00358,1,3,42638.21,4,3,4,11,Champions
CUST-00360,27,3,17840.14,4,3,3,10,Growing
CUST-00361,115,1,1456.0,2,1,1,4,At Risk
CUST-00362,51,2,1474.81,3,2,1,6,Occasional
CUST-00364,202,2,3658.42,1,2,1,4,At Risk
CUST-00365,1,1,4187.51,4,1,1,6,Occasional
CUST-00366,1,3,30594.019999999997,4,3,4,11,Champions
CUST-00367,1,5,26970.65,4,4,4,12,Champions
CUST-00368,90,5,45692.49999999999,2,4,4,10,Growing
CUST-00369,1,3,34601.9,4,3,4,11,Champions
CUST-00370,153,2,19195.24,2,2,4,8,Occasional
CUST-00371,178,3,12536.369999999999,1,3,3,7,Occasional
CUST-00372,1,4,18992.79,4,4,3,11,Champions
CUST-00373,1,3,38778.39,4,3,4,11,Champions
CUST-00375,202,1,2986.05,1,1,1,3,At Risk
CUST-00376,27,2,10484.55,4,2,3,9,Growing
CUST-00377,246,2,2197.63,1,2,1,4,At Risk
CUST-00378,246,2,6388.349999999999,1,2,2,5,At Risk
CUST-00379,153,2,7113.09,2,2,2,6,Occasional
CUST-00380,90,2,9863.23,2,2,2,6,Occasional
CUST-00381,178,2,13198.89,1,2,3,6,Occasional
CUST-00382,27,1,6344.85,4,1,2,7,Occasional
CUST-00383,115,3,24704.600000000002,2,3,4,9,Growing
CUST-00384,51,1,104.59,3,1,1,5,At Risk
CUST-00385,1,5,38823.54,4,4,4,12,Champions
CUST-00386,51,3,13288.44,3,3,3,9,Growing
CUST-00387,223,1,1550.98,1,1,1,3,At Risk
CUST-00388,27,4,14926.24,4,4,3,11,Champions
CUST-00389,51,3,9578.2,3,3,2,8,Occasional
CUST-00390,90,1,1305.63,2,1,1,4,At Risk
CUST-00391,246,2,11346.0,1,2,3,6,Occasional
CUST-00393,51,2,9352.93,3,2,2,7,Occasional
CUST-00394,178,4,30221.89,1,4,4,9,Growing
CUST-00395,202,2,6420.18,1,2,2,5,At Risk
CUST-00396,1,3,13388.98,4,3,3,10,Growing
CUST-00397,51,2,2627.84,3,2,1,6,Occasional
CUST-00398,1,1,6740.45,4,1,2,7,Occasional
CUST-00399,223,1,216.15,1,1,1,3,At Risk
CUST-00400,27,2,9250.029999999999,4,2,2,8,Occasional
CUST-00401,295,1,13345.48,1,1,3,5,At Risk
CUST-00402,269,1,2547.16,1,1,1,3,At Risk
CUST-00403,51,4,9409.279999999999,3,4,2,9,Growing
CUST-00404,1,3,34767.1,4,3,4,11,Champions
CUST-00405,27,5,37683.54,4,4,4,12,Champions
CUST-00406,202,1,6895.75,1,1,2,4,At Risk
CUST-00407,115,2,10211.619999999999,2,2,2,6,Occasional
CUST-00408,153,1,15950.4,2,1,3,6,Occasional
CUST-00409,51,3,6686.57,3,3,2,8,Occasional
CUST-00410,51,5,22800.09,3,4,4,11,Champions
CUST-00411,1,3,17221.79,4,3,3,10,Growing
CUST-00412,115,2,10015.67,2,2,2,6,Occasional
CUST-00413,153,2,4897.780000000001,2,2,1,5,At Risk
CUST-00414,178,1,5758.37,1,1,2,4,At Risk
CUST-00415,90,2,21904.32,2,2,4,8,Occasional
CUST-00416,295,1,3309.83,1,1,1,3,At Risk
CUST-00417,178,4,11033.279999999999,1,4,3,8,Occasional
CUST-00418,1,3,19749.22,4,3,4,11,Champions
CUST-00420,27,4,10553.05,4,4,3,11,Champions
CUST-00422,27,2,8668.15,4,2,2,8,Occasional
CUST-00423,115,3,9308.3,2,3,2,7,Occasional
CUST-00424,90,3,8160.26,2,3,2,7,Occasional
CUST-00425,27,3,7800.94,4,3,2,9,Growing
CUST-00426,115,5,34942.85,2,4,4,10,Growing
CUST-00427,178,2,15417.77,1,2,3,6,Occasional
CUST-00428,223,1,507.98,1,1,1,3,At Risk
CUST-00429,1,2,21590.309999999998,4,2,4,10,Growing
CUST-00430,90,3,11135.3,2,3,3,8,Occasional
CUST-00431,153,2,22825.629999999997,2,2,4,8,Occasional
CUST-00432,51,5,16297.96,3,4,3,10,Growing
CUST-00433,1,2,8367.210000000001,4,2,2,8,Occasional
CUST-00434,51,2,1349.82,3,2,1,6,Occasional
CUST-00435,246,1,932.52,1,1,1,3,At Risk
CUST-00436,115,1,8146.33,2,1,2,5,At Risk
CUST-00437,1,1,7011.17,4,1,2,7,Occasional
CUST-00438,51,2,8913.06,3,2,2,7,Occasional
CUST-00439,27,4,20105.77,4,4,4,12,Champions
CUST-00440,223,2,8547.12,1,2,2,5,At Risk
CUST-00442,90,3,17822.239999999998,2,3,3,8,Occasional
CUST-00444,1,2,11288.79,4,2,3,9,Growing
CUST-00445,1,2,26229.86,4,2,4,10,Growing
CUST-00446,153,5,31231.46,2,4,4,10,Growing
CUST-00447,178,3,50649.56,1,3,4,8,Occasional
CUST-00448,223,2,4096.08,1,2,1,4,At Risk
CUST-00449,1,1,7578.05,4,1,2,7,Occasional
CUST-00450,27,3,31570.57,4,3,4,11,Champions
CUST-00451,178,1,5937.41,1,1,2,4,At Risk
CUST-00452,90,3,16473.29,2,3,3,8,Occasional
CUST-00454,1,1,5751.89,4,1,2,7,Occasional
CUST-00455,27,3,5505.49,4,3,2,9,Growing
CUST-00456,90,3,9462.05,2,3,2,7,Occasional
CUST-00457,153,3,16902.21,2,3,3,8,Occasional
CUST-00458,51,4,15800.609999999999,3,4,3,10,Growing
CUST-00459,153,2,21131.33,2,2,4,8,Occasional
CUST-00460,223,1,654.92,1,1,1,3,At Risk
CUST-00461,1,4,46584.46,4,4,4,12,Champions
CUST-00462,27,3,8276.59,4,3,2,9,Growing
CUST-00463,1,2,14301.89,4,2,3,9,Growing
CUST-00464,269,1,2789.39,1,1,1,3,At Risk
CUST-00465,27,2,38873.22,4,2,4,10,Growing
CUST-00466,1,2,2924.25,4,2,1,7,Occasional
CUST-00467,90,4,12984.2,2,4,3,9,Growing
CUST-00468,1,4,22144.35,4,4,4,12,Champions
CUST-00469,1,4,27146.08,4,4,4,12,Champions
CUST-00470,27,1,7962.58,4,1,2,7,Occasional
CUST-00471,90,1,2097.44,2,1,1,4,At Risk
CUST-00472,153,3,19623.7,2,3,4,9,Growing
CUST-00473,27,5,8754.29,4,4,2,10,Growing
CUST-00474,51,2,2107.54,3,2,1,6,Occasional
CUST-00475,27,2,18250.49,4,2,3,9,Growing
CUST-00476,202,1,7051.23,1,1,2,4,At Risk
CUST-00477,51,2,4623.13,3,2,1,6,Occasional
CUST-00478,178,2,29682.6,1,2,4,7,Occasional
CUST-00479,1,4,34393.12,4,4,4,12,Champions
CUST-00480,27,2,5781.46,4,2,2,8,Occasional
CUST-00481,90,2,2908.8199999999997,2,2,1,5,At Risk
CUST-00482,90,3,11504.32,2,3,3,8,Occasional
CUST-00484,1,3,22532.15,4,3,4,11,Champions
CUST-00485,27,3,21976.61,4,3,4,11,Champions
CUST-00486,246,2,10573.21,1,2,3,6,Occasional
CUST-00487,51,2,3123.84,3,2,1,6,Occasional
CUST-00488,153,2,7354.69,2,2,2,6,Occasional
CUST-00489,27,3,9181.81,4,3,2,9,Growing
CUST-00490,1,2,42439.4,4,2,4,10,Growing
CUST-00491,90,2,3452.82,2,2,1,5,At Risk
CUST-00492,223,1,4553.7300000000005,1,1,1,3,At Risk
CUST-00493,90,3,10643.75,2,3,3,8,Occasional
CUST-00494,90,3,7481.13,2,3,2,7,Occasional
CUST-00495,27,4,11060.64,4,4,3,11,Champions
CUST-00496,27,1,736.82,4,1,1,6,Occasional
CUST-00497,27,6,41705.61,4,4,4,12,Champions
CUST-00498,51,1,1057.34,3,1,1,5,At Risk
CUST-00499,202,3,8742.38,1,3,2,6,Occasional
CUST-00500,1,3,21234.94,4,3,4,11,Champions
CUST-00501,27,2,15717.189999999999,4,2,3,9,Growing
CUST-00502,90,5,37919.009999999995,2,4,4,10,Growing
CUST-00503,27,3,18290.75,4,3,3,10,Growing
CUST-00504,1,2,30725.949999999997,4,2,4,10,Growing
CUST-00505,51,1,276.14,3,1,1,5,At Risk
CUST-00506,27,3,8258.92,4,3,2,9,Growing
CUST-00507,115,3,9481.2,2,3,2,7,Occasional
CUST-00508,115,2,11642.86,2,2,3,7,Occasional
CUST-00510,51,1,537.63,3,1,1,5,At Risk
CUST-00511,153,2,16236.34,2,2,3,7,Occasional
CUST-00513,27,5,30865.15,4,4,4,12,Champions
CUST-00514,1,2,12849.54,4,2,3,9,Growing
CUST-00515,1,3,9588.98,4,3,2,9,Growing
CUST-00517,153,1,1252.58,2,1,1,4,At Risk
CUST-00518,178,3,42753.1,1,3,4,8,Occasional
CUST-00519,202,2,3614.8199999999997,1,2,1,4,At Risk
CUST-00520,202,1,1889.05,1,1,1,3,At Risk
CUST-00521,27,5,21789.43,4,4,4,12,Champions
CUST-00523,115,2,9298.7,2,2,2,6,Occasional
CUST-00524,1,7,46350.93,4,4,4,12,Champions
CUST-00525,1,1,6654.53,4,1,2,7,Occasional
CUST-00526,115,3,8828.67,2,3,2,7,Occasional
CUST-00527,115,4,23105.010000000002,2,4,4,10,Growing
