customer_id,age,gender,city,customer_segment,campaign_id,campaign_channel,campaign_date,campaign_cost,impressions,clicks,conversions,revenue_generated,previous_purchases,days_since_last_purchase
CUST-02293,45,Non-binary,New York,Growing,CMP-012,SMS,2025-11-05,18.23,8862,704,118,8892.16,1,146
CUST-02704,34,Male,Atlanta,At Risk,CMP-004,Display,2025-03-28,23.55,9032,101,4,316.86,1,90
CUST-00417,39,Female,Houston,At Risk,CMP-001,Email,2025-01-15,14.82,9165,336,36,2524.5,5,96
CUST-01758,30,Female,Denver,Loyal,CMP-010,Display,2025-09-16,31.54,8877,203,16,3868.53,4,176
CUST-04619,41,Male,Houston,New,CMP-011,Affiliate,2025-10-10,24.42,8845,255,25,1840.32,0,154
CUST-00237,56,Male,Los Angeles,Growing,CMP-007,Email,2025-06-06,25.16,9113,473,55,5630.51,0,183
CUST-01630,41,Male,Los Angeles,New,CMP-001,Email,2025-01-15,20.39,9066,386,36,4277.53,0,188
CUST-04142,23,Male,Seattle,New,CMP-007,Email,2025-06-06,20.8,9113,375,29,2218.32,0,198
CUST-01637,30,Male,Houston,Loyal,CMP-005,Affiliate,2025-04-18,17.86,9062,435,45,6844.3,9,127
CUST-04372,57,Female,Seattle,Loyal,CMP-006,SMS,2025-05-12,15.34,8906,927,159,29305.03,8,154
CUST-03885,34,Male,Houston,At Risk,CMP-001,Email,2025-01-15,14.71,9161,348,32,3096.76,2,195
CUST-03260,45,Female,Atlanta,New,CMP-004,Display,2025-03-28,32.64,8964,151,7,706.86,0,283
CUST-00316,33,Female,New York,Growing,CMP-012,SMS,2025-11-05,12.32,8988,662,85,10124.77,1,129
CUST-01413,18,Male,Houston,Growing,CMP-001,Email,2025-01-15,16.01,8985,512,60,9011.16,3,19
CUST-01917,28,Male,Seattle,New,CMP-011,Affiliate,2025-10-10,22.6,9130,283,16,2064.91,0,316
CUST-04459,26,Male,Los Angeles,New,CMP-007,Email,2025-06-06,21.11,9230,432,35,3546.3,0,359
CUST-01930,72,Male,Houston,Growing,CMP-008,Paid Search,2025-07-14,36.78,8924,368,40,5473.88,2,68
CUST-02624,31,Female,Denver,New,CMP-012,SMS,2025-11-05,13.16,8980,579,60,5227.54,0,126
CUST-01040,62,Female,Houston,Loyal,CMP-003,Social Media,2025-03-05,35.05,9069,363,33,6588.4,6,16
CUST-01892,55,Male,Denver,Growing,CMP-012,SMS,2025-11-05,12.57,8959,726,93,13423.77,1,93
CUST-03066,41,Male,Atlanta,Loyal,CMP-004,Display,2025-03-28,25.11,8977,225,17,2450.67,7,195
CUST-01064,36,Female,Denver,Loyal,CMP-005,Affiliate,2025-04-18,24.56,8925,365,45,6141.23,5,81
CUST-00990,43,Male,Denver,New,CMP-006,SMS,2025-05-12,12.8,9078,567,62,8869.68,0,122
CUST-01513,18,Male,Denver,Loyal,CMP-008,Paid Search,2025-07-14,28.36,8970,494,64,8781.63,6,82
CUST-00224,46,Male,New York,Loyal,CMP-004,Display,2025-03-28,24.55,8898,213,8,1186.92,4,203
CUST-00876,49,Male,Houston,Growing,CMP-010,Display,2025-09-16,24.62,8918,197,9,763.49,6,165
CUST-03883,69,Female,Chicago,New,CMP-001,Email,2025-01-15,23.8,8873,417,39,4846.99,0,347
CUST-00921,48,Female,Atlanta,Loyal,CMP-008,Paid Search,2025-07-14,25.17,9024,516,64,8759.78,5,15
CUST-02920,28,Male,Atlanta,New,CMP-008,Paid Search,2025-07-14,34.22,9060,320,16,1602.66,0,295
CUST-02173,35,Male,Houston,New,CMP-007,Email,2025-06-06,28.26,9047,406,39,3823.88,0,222
CUST-02161,45,Female,New York,New,CMP-008,Paid Search,2025-07-14,26.1,8926,335,34,5327.8,0,363
CUST-00157,29,Female,Seattle,Loyal,CMP-009,Social Media,2025-08-08,42.89,8940,377,37,8299.82,4,149
CUST-03750,25,Female,Los Angeles,Loyal,CMP-011,Affiliate,2025-10-10,20.37,8966,453,58,9805.2,16,213
CUST-01226,18,Male,New York,Loyal,CMP-003,Social Media,2025-03-05,30.5,9051,345,30,3972.71,6,115
CUST-04641,51,Female,Los Angeles,Loyal,CMP-006,SMS,2025-05-12,14.01,9002,929,169,27357.85,5,214
CUST-01697,36,Female,Seattle,Growing,CMP-007,Email,2025-06-06,22.99,9001,490,50,6010.46,0,76
CUST-00672,31,Female,Chicago,Growing,CMP-005,Affiliate,2025-04-18,26.78,8947,340,33,5577.05,1,66
CUST-01147,32,Female,Seattle,New,CMP-012,SMS,2025-11-05,16.99,9016,607,71,11515.5,0,155
CUST-03309,64,Female,New York,New,CMP-007,Email,2025-06-06,18.29,8908,402,38,4109.7,0,134
CUST-00884,42,Female,Houston,Loyal,CMP-008,Paid Search,2025-07-14,29.16,9259,546,68,12757.13,10,157
CUST-04520,42,Male,Atlanta,Growing,CMP-003,Social Media,2025-03-05,40.48,8995,276,29,5223.52,1,129
CUST-01847,73,Male,Los Angeles,Growing,CMP-005,Affiliate,2025-04-18,20.66,9035,316,36,4967.29,2,199
CUST-00142,37,Female,Chicago,Loyal,CMP-008,Paid Search,2025-07-14,26.84,9224,487,61,7756.56,5,84
CUST-01433,54,Female,Seattle,Loyal,CMP-006,SMS,2025-05-12,15.67,9081,936,154,23647.69,7,95
CUST-02174,48,Male,Los Angeles,Growing,CMP-010,Display,2025-09-16,33.2,9087,178,8,980.73,4,104
CUST-01678,36,Male,Atlanta,Growing,CMP-002,Paid Search,2025-02-10,32.48,9105,385,36,3653.61,1,162
CUST-03648,40,Male,Denver,New,CMP-002,Paid Search,2025-02-10,22.55,9058,313,27,2746.4,0,198
CUST-03412,43,Female,Chicago,New,CMP-005,Affiliate,2025-04-18,22.36,8802,275,19,1216.03,0,301
CUST-01070,22,Female,Los Angeles,Growing,CMP-004,Display,2025-03-28,24.27,8999,166,10,647.01,1,30
CUST-00718,42,Female,New York,New,CMP-010,Display,2025-09-16,28.84,9065,150,7,694.77,0,128
CUST-01148,55,Male,Seattle,Growing,CMP-011,Affiliate,2025-10-10,18.22,9080,347,34,3960.58,1,136
CUST-04451,32,Female,Atlanta,At Risk,CMP-006,SMS,2025-05-12,15.13,8942,464,39,4695.72,1,136
CUST-00959,42,Male,Chicago,New,CMP-007,Email,2025-06-06,25.57,9090,402,33,2950.91,0,242
CUST-00367,48,Male,New York,New,CMP-004,Display,2025-03-28,31.4,9063,143,5,541.55,0,214
CUST-02804,40,Male,Seattle,New,CMP-007,Email,2025-06-06,27.03,9165,415,36,3273.39,0,144
CUST-02998,24,Female,Los Angeles,New,CMP-009,Social Media,2025-08-08,45.74,8969,181,11,625.86,0,265
CUST-03101,24,Male,Seattle,Loyal,CMP-009,Social Media,2025-08-08,36.35,9099,398,47,7370.66,5,151
CUST-02267,56,Male,Denver,Growing,CMP-012,SMS,2025-11-05,12.13,8976,732,96,12489.38,1,195
CUST-01617,49,Female,New York,Loyal,CMP-007,Email,2025-06-06,23.3,9002,647,103,14233.17,6,84
CUST-00544,47,Female,New York,Loyal,CMP-005,Affiliate,2025-04-18,23.77,9035,447,55,8327.28,3,148
CUST-03948,49,Male,Seattle,Growing,CMP-001,Email,2025-01-15,23.61,8964,459,58,8783.09,1,117
CUST-02355,31,Female,Houston,Loyal,CMP-009,Social Media,2025-08-08,46.02,9010,342,47,6991.45,6,118
CUST-00674,59,Female,Chicago,New,CMP-010,Display,2025-09-16,36.44,9169,128,6,792.24,0,217
CUST-03132,18,Male,Seattle,New,CMP-007,Email,2025-06-06,18.72,8924,401,53,5649.17,0,327
CUST-04310,46,Male,Houston,New,CMP-012,SMS,2025-11-05,14.3,8946,577,66,8373.55,0,346
CUST-04928,28,Female,Los Angeles,Loyal,CMP-004,Display,2025-03-28,25.1,8770,216,13,2848.16,1,46
CUST-01239,46,Non-binary,Los Angeles,Growing,CMP-001,Email,2025-01-15,19.34,9100,482,48,4672.12,1,154
CUST-03447,21,Male,Los Angeles,New,CMP-008,Paid Search,2025-07-14,33.68,9094,333,26,3310.97,0,292
CUST-02176,56,Female,Los Angeles,Growing,CMP-002,Paid Search,2025-02-10,31.96,8950,376,36,5858.84,0,29
CUST-02335,32,Female,Denver,New,CMP-002,Paid Search,2025-02-10,23.38,9099,305,26,3310.19,0,144
CUST-02299,35,Female,Houston,Loyal,CMP-009,Social Media,2025-08-08,37.97,8821,335,37,5521.03,9,13
CUST-04511,47,Female,Chicago,Growing,CMP-006,SMS,2025-05-12,10.64,8898,719,97,4166.28,2,43
CUST-03450,68,Female,New York,Growing,CMP-008,Paid Search,2025-07-14,38.93,8917,379,36,7054.07,3,216
CUST-02836,29,Female,Chicago,New,CMP-009,Social Media,2025-08-08,36.96,9127,218,14,891.27,0,205
CUST-00521,23,Female,Denver,Loyal,CMP-005,Affiliate,2025-04-18,17.45,9044,427,32,7511.91,9,202
CUST-02521,32,Female,Atlanta,Growing,CMP-008,Paid Search,2025-07-14,39.31,8969,376,41,3675.05,3,189
CUST-02095,60,Female,Atlanta,New,CMP-007,Email,2025-06-06,28.18,9045,371,25,1781.11,0,100
CUST-00288,31,Female,Los Angeles,New,CMP-007,Email,2025-06-06,28.74,8891,356,38,3929.47,0,131
CUST-02433,26,Male,Denver,At Risk,CMP-009,Social Media,2025-08-08,31.9,8991,200,8,668.99,4,59
CUST-04505,18,Female,Denver,At Risk,CMP-005,Affiliate,2025-04-18,17.97,8801,244,21,2708.9,0,83
CUST-03638,33,Female,Atlanta,Loyal,CMP-007,Email,2025-06-06,19.89,8845,634,85,11442.12,7,85
CUST-02179,32,Male,Seattle,New,CMP-008,Paid Search,2025-07-14,26.52,9078,322,27,3336.88,0,333
CUST-02469,45,Female,Denver,At Risk,CMP-002,Paid Search,2025-02-10,26.65,9036,272,20,1905.39,1,204
CUST-01280,39,Female,Houston,Loyal,CMP-003,Social Media,2025-03-05,26.2,9039,346,41,5160.21,12,59
CUST-03764,29,Non-binary,Denver,Loyal,CMP-002,Paid Search,2025-02-10,27.61,8961,495,56,10109.6,7,90
CUST-03569,22,Female,Houston,Growing,CMP-003,Social Media,2025-03-05,26.29,8985,281,20,2434.52,0,22
CUST-01524,40,Female,Seattle,New,CMP-006,SMS,2025-05-12,15.29,8992,625,61,7931.51,0,201
CUST-00208,33,Female,Houston,New,CMP-012,SMS,2025-11-05,17.4,8907,549,44,4242.21,0,100
CUST-00967,44,Female,Atlanta,At Risk,CMP-012,SMS,2025-11-05,12.02,9054,462,43,4945.92,1,219
CUST-03971,33,Female,Denver,Growing,CMP-010,Display,2025-09-16,31.79,9161,182,7,945.47,4,50
CUST-03992,39,Male,Los Angeles,New,CMP-007,Email,2025-06-06,23.11,8936,439,43,3119.87,0,172
CUST-00405,40,Male,Los Angeles,New,CMP-003,Social Media,2025-03-05,37.41,9011,213,17,999.63,0,275
CUST-01575,29,Male,Seattle,Growing,CMP-005,Affiliate,2025-04-18,25.66,9115,333,34,6049.37,0,174
CUST-02262,38,Male,Seattle,New,CMP-010,Display,2025-09-16,25.8,8998,122,4,401.17,0,117
CUST-00251,50,Male,Chicago,At Risk,CMP-011,Affiliate,2025-10-10,22.28,8949,223,24,2011.8,1,146
CUST-02975,40,Male,Chicago,Loyal,CMP-012,SMS,2025-11-05,11.45,9051,927,150,25361.88,2,177
CUST-01310,41,Male,New York,Loyal,CMP-005,Affiliate,2025-04-18,21.7,9027,387,52,8220.23,9,148
CUST-04765,56,Female,Atlanta,Growing,CMP-006,SMS,2025-05-12,10.86,8987,707,110,14027.94,3,187
CUST-01653,18,Female,Atlanta,Growing,CMP-007,Email,2025-06-06,20.56,8968,492,52,3957.31,1,77
CUST-00018,53,Male,Atlanta,Growing,CMP-001,Email,2025-01-15,19.75,8901,523,77,11674.52,1,121
CUST-03585,62,Female,Houston,Loyal,CMP-002,Paid Search,2025-02-10,21.82,8891,488,60,9964.5,6,13
CUST-03005,47,Female,Atlanta,New,CMP-001,Email,2025-01-15,17.92,8928,374,36,4266.3,0,231
CUST-00291,23,Female,Chicago,Growing,CMP-009,Social Media,2025-08-08,41.97,8953,276,18,1941.02,0,40
CUST-02550,62,Female,Houston,New,CMP-003,Social Media,2025-03-05,36.38,8906,217,18,1826.09,0,239
CUST-02901,32,Female,Houston,Growing,CMP-009,Social Media,2025-08-08,43.44,8865,269,21,1720.75,1,15
CUST-01154,47,Female,Chicago,New,CMP-005,Affiliate,2025-04-18,24.5,9184,305,18,2312.29,0,198
CUST-03497,28,Male,Chicago,New,CMP-010,Display,2025-09-16,23.23,9077,128,6,592.59,0,213
CUST-01059,41,Male,New York,New,CMP-002,Paid Search,2025-02-10,21.69,8987,329,30,1313.7,0,149
CUST-00991,49,Male,Chicago,Growing,CMP-004,Display,2025-03-28,28.67,8996,166,9,1021.89,3,101
CUST-02898,31,Female,Los Angeles,New,CMP-003,Social Media,2025-03-05,32.22,9141,217,18,1995.73,0,257
CUST-04600,34,Male,Atlanta,At Risk,CMP-006,SMS,2025-05-12,9.59,8938,453,38,4364.19,2,137
CUST-00360,36,Female,Houston,Growing,CMP-007,Email,2025-06-06,28.68,9089,486,53,4298.65,0,146
CUST-00291,40,Female,Los Angeles,Growing,CMP-003,Social Media,2025-03-05,32.92,9062,308,22,3575.69,1,5
CUST-01545,25,Female,Atlanta,Growing,CMP-009,Social Media,2025-08-08,43.86,8917,280,15,2175.11,4,179
CUST-01366,31,Female,Chicago,New,CMP-012,SMS,2025-11-05,16.17,9067,605,71,6445.57,0,125
CUST-01384,18,Male,Houston,At Risk,CMP-001,Email,2025-01-15,15.04,9028,359,36,3712.82,1,164
CUST-01393,35,Male,Los Angeles,Growing,CMP-002,Paid Search,2025-02-10,23.67,8978,365,29,3865.83,4,174
CUST-03880,42,Female,Denver,Loyal,CMP-012,SMS,2025-11-05,12.29,8940,895,152,21054.12,8,84
CUST-04813,24,Male,Los Angeles,New,CMP-008,Paid Search,2025-07-14,35.9,9025,303,31,3976.0,0,169
CUST-03912,42,Male,Houston,Growing,CMP-012,SMS,2025-11-05,14.08,8961,726,110,18162.14,0,8
CUST-03536,63,Male,Chicago,Growing,CMP-009,Social Media,2025-08-08,38.89,9125,287,23,1900.98,3,214
CUST-02058,25,Female,Houston,At Risk,CMP-009,Social Media,2025-08-08,35.58,9091,205,17,1570.26,3,190
CUST-00357,18,Male,Los Angeles,Growing,CMP-002,Paid Search,2025-02-10,25.3,8962,378,33,3938.56,0,137
CUST-04981,31,Female,New York,Growing,CMP-007,Email,2025-06-06,22.31,8976,491,53,7305.56,2,59
CUST-03038,42,Female,Seattle,New,CMP-005,Affiliate,2025-04-18,27.59,8941,250,16,1498.07,0,351
CUST-02796,29,Female,Chicago,New,CMP-011,Affiliate,2025-10-10,28.27,8848,275,24,3312.09,0,165
CUST-02286,39,Male,Seattle,Growing,CMP-001,Email,2025-01-15,23.72,8961,468,41,2818.96,3,59
CUST-01034,18,Male,Chicago,Growing,CMP-001,Email,2025-01-15,18.32,8935,476,62,8012.96,3,55
CUST-03761,43,Female,Los Angeles,New,CMP-007,Email,2025-06-06,26.49,8949,396,33,2929.17,0,237
CUST-00104,27,Female,Seattle,Loyal,CMP-012,SMS,2025-11-05,14.0,9088,987,168,25277.12,2,215
CUST-00903,37,Male,Los Angeles,At Risk,CMP-012,SMS,2025-11-05,12.02,8966,482,40,1840.73,4,77
CUST-04641,28,Male,Seattle,New,CMP-008,Paid Search,2025-07-14,28.72,8912,305,23,3040.12,0,253
CUST-03756,23,Male,Seattle,Growing,CMP-006,SMS,2025-05-12,11.02,9063,697,100,8266.82,3,190
CUST-04750,47,Female,Seattle,New,CMP-004,Display,2025-03-28,33.93,9040,135,7,786.97,0,230
CUST-00804,41,Male,Seattle,Loyal,CMP-012,SMS,2025-11-05,14.45,8877,935,152,21018.44,5,91
CUST-00283,18,Male,New York,New,CMP-003,Social Media,2025-03-05,32.42,8976,235,12,1137.51,0,164
CUST-02520,18,Female,New York,Loyal,CMP-002,Paid Search,2025-02-10,30.56,9017,503,79,14335.79,11,126
CUST-04553,26,Male,Atlanta,Loyal,CMP-007,Email,2025-06-06,25.86,8952,620,86,17718.04,11,97
CUST-00600,60,Female,Chicago,Loyal,CMP-005,Affiliate,2025-04-18,17.05,8876,406,42,4582.51,7,39
CUST-04745,49,Non-binary,New York,New,CMP-006,SMS,2025-05-12,11.33,9026,495,51,4668.52,0,359
CUST-04845,42,Female,Atlanta,At Risk,CMP-011,Affiliate,2025-10-10,29.71,8783,222,11,996.31,1,166
CUST-04056,43,Male,Los Angeles,New,CMP-004,Display,2025-03-28,32.82,8892,141,9,903.64,0,95
CUST-01850,34,Female,New York,New,CMP-011,Affiliate,2025-10-10,24.57,9045,275,23,2804.79,0,156
CUST-01638,52,Female,New York,Growing,CMP-003,Social Media,2025-03-05,26.03,9046,261,14,2354.66,7,107
CUST-00990,46,Male,Atlanta,Growing,CMP-004,Display,2025-03-28,30.82,9164,189,10,1042.67,0,219
CUST-00667,29,Female,New York,Loyal,CMP-001,Email,2025-01-15,22.8,8889,638,81,10339.94,2,130
CUST-03004,38,Female,Seattle,Loyal,CMP-009,Social Media,2025-08-08,38.35,8951,361,35,6305.65,3,79
CUST-00562,20,Male,Atlanta,New,CMP-011,Affiliate,2025-10-10,29.78,9026,266,22,1602.59,0,113
CUST-04290,32,Female,Denver,At Risk,CMP-011,Affiliate,2025-10-10,19.84,9205,233,11,1039.9,3,6
CUST-04699,18,Female,New York,New,CMP-003,Social Media,2025-03-05,26.52,9086,231,12,1202.48,0,304
CUST-02370,26,Male,Los Angeles,Growing,CMP-010,Display,2025-09-16,36.64,8863,157,11,1309.51,2,43
CUST-03964,18,Male,New York,New,CMP-002,Paid Search,2025-02-10,20.59,8920,296,22,2607.57,0,145
CUST-04225,36,Male,Los Angeles,At Risk,CMP-008,Paid Search,2025-07-14,36.83,8961,299,19,1427.65,1,118
CUST-02766,43,Male,Los Angeles,New,CMP-009,Social Media,2025-08-08,42.61,8994,238,13,2347.32,0,268
CUST-00402,21,Female,Denver,New,CMP-002,Paid Search,2025-02-10,21.68,9138,321,27,2547.16,0,232
CUST-04724,31,Male,Denver,Growing,CMP-002,Paid Search,2025-02-10,31.99,9066,439,40,4080.67,2,40
CUST-00635,36,Non-binary,Los Angeles,At Risk,CMP-001,Email,2025-01-15,23.06,8866,309,25,3268.92,4,104
CUST-00596,51,Male,New York,At Risk,CMP-009,Social Media,2025-08-08,31.36,8918,189,12,1013.17,2,64
CUST-02622,20,Female,Los Angeles,Loyal,CMP-008,Paid Search,2025-07-14,28.15,8967,474,61,7260.32,7,104
CUST-02788,56,Male,New York,At Risk,CMP-002,Paid Search,2025-02-10,26.38,8866,242,17,1387.76,3,175
CUST-04976,62,Male,New York,At Risk,CMP-007,Email,2025-06-06,25.31,9086,356,34,4139.94,1,94
CUST-03770,37,Female,Chicago,Growing,CMP-010,Display,2025-09-16,36.2,8937,154,9,1182.19,2,85
CUST-03800,53,Female,Seattle,New,CMP-003,Social Media,2025-03-05,36.16,9082,244,9,713.99,0,213
CUST-03661,35,Male,Los Angeles,Loyal,CMP-008,Paid Search,2025-07-14,28.22,9151,517,72,14065.48,11,159
CUST-03525,44,Male,Seattle,Loyal,CMP-004,Display,2025-03-28,34.63,9049,222,9,1648.73,8,35
CUST-04864,47,Male,New York,Growing,CMP-004,Display,2025-03-28,35.7,9044,173,6,850.08,3,172
CUST-02277,67,Male,New York,New,CMP-005,Affiliate,2025-04-18,19.67,9005,269,21,1302.7,0,308
CUST-00646,53,Female,Los Angeles,Loyal,CMP-005,Affiliate,2025-04-18,19.4,9035,398,53,6329.13,5,105
CUST-02602,32,Female,Chicago,New,CMP-006,SMS,2025-05-12,14.95,9011,592,69,4430.63,0,279
CUST-00595,64,Male,Seattle,At Risk,CMP-003,Social Media,2025-03-05,26.84,9110,207,11,858.65,3,121
CUST-01773,48,Female,Seattle,New,CMP-005,Affiliate,2025-04-18,19.18,8913,285,23,3143.21,0,122
CUST-04046,37,Male,Los Angeles,New,CMP-008,Paid Search,2025-07-14,37.94,8921,327,24,1359.09,0,349
CUST-02584,39,Male,Chicago,Loyal,CMP-005,Affiliate,2025-04-18,18.75,8864,413,45,5135.88,10,159
CUST-04067,44,Female,New York,New,CMP-008,Paid Search,2025-07-14,31.47,9095,305,27,1622.85,0,297
CUST-02227,33,Non-binary,Los Angeles,New,CMP-002,Paid Search,2025-02-10,27.69,8997,295,25,3007.56,0,347
CUST-01473,42,Female,Seattle,Growing,CMP-002,Paid Search,2025-02-10,31.93,8982,429,40,7153.91,4,190
CUST-03472,33,Female,Chicago,At Risk,CMP-011,Affiliate,2025-10-10,29.15,8888,201,13,1170.88,3,108
CUST-01860,47,Female,Chicago,New,CMP-006,SMS,2025-05-12,13.37,9035,603,67,7560.9,0,194
CUST-04573,30,Female,New York,New,CMP-008,Paid Search,2025-07-14,31.65,9140,346,26,2613.48,0,91
CUST-02865,46,Female,Chicago,Loyal,CMP-009,Social Media,2025-08-08,35.15,9067,361,32,4874.01,7,13
CUST-02983,67,Male,Houston,At Risk,CMP-002,Paid Search,2025-02-10,31.89,9096,295,17,1682.63,5,23
CUST-01226,58,Female,Seattle,Growing,CMP-012,SMS,2025-11-05,15.61,8939,731,100,9697.16,2,94
CUST-04086,35,Female,Los Angeles,New,CMP-006,SMS,2025-05-12,9.72,8947,593,71,8294.05,0,117
CUST-02855,40,Female,Houston,New,CMP-011,Affiliate,2025-10-10,19.62,9078,282,28,2627.19,0,248
CUST-00112,18,Non-binary,Denver,New,CMP-006,SMS,2025-05-12,13.32,8938,568,60,6024.97,0,191
CUST-03554,42,Female,Chicago,New,CMP-005,Affiliate,2025-04-18,18.77,9108,248,21,1845.71,0,211
CUST-03359,40,Female,Chicago,Loyal,CMP-008,Paid Search,2025-07-14,28.64,8985,505,50,3962.43,2,174
CUST-02325,46,Female,Chicago,New,CMP-003,Social Media,2025-03-05,29.79,9105,225,11,1312.0,0,312
CUST-02810,46,Female,Denver,Growing,CMP-008,Paid Search,2025-07-14,39.25,9034,375,43,5171.14,1,99
CUST-00385,23,Female,Atlanta,Loyal,CMP-012,SMS,2025-11-05,13.38,9174,918,147,23015.43,7,196
CUST-02163,46,Male,Denver,Growing,CMP-008,Paid Search,2025-07-14,31.37,9059,439,38,6820.54,2,162
CUST-00863,37,Male,Denver,New,CMP-001,Email,2025-01-15,14.64,9035,419,40,4188.22,0,295
CUST-04672,23,Male,Seattle,Loyal,CMP-009,Social Media,2025-08-08,36.05,8987,327,28,3662.53,1,5
CUST-00774,40,Female,Seattle,Loyal,CMP-001,Email,2025-01-15,19.7,9084,581,80,8042.48,6,70
CUST-00127,46,Non-binary,Chicago,Loyal,CMP-002,Paid Search,2025-02-10,30.62,9118,519,54,7926.66,11,89
CUST-03123,50,Male,New York,New,CMP-004,Display,2025-03-28,32.64,9016,147,2,222.33,0,357
CUST-00083,43,Male,Houston,New,CMP-004,Display,2025-03-28,36.01,8944,131,5,331.8,0,124
CUST-02793,43,Female,Atlanta,At Risk,CMP-001,Email,2025-01-15,20.66,8955,351,33,3516.2,2,17
CUST-04128,53,Male,Chicago,Growing,CMP-001,Email,2025-01-15,19.79,8857,484,59,6595.91,1,31
CUST-03219,18,Male,Seattle,New,CMP-010,Display,2025-09-16,24.61,9143,138,3,291.26,0,94
CUST-04719,29,Female,Los Angeles,Growing,CMP-006,SMS,2025-05-12,10.16,8964,680,90,11060.42,1,142
CUST-03543,18,Female,New York,Loyal,CMP-003,Social Media,2025-03-05,34.24,9057,354,30,3143.54,9,127
CUST-01301,35,Female,Denver,At Risk,CMP-006,SMS,2025-05-12,10.34,9043,490,44,3256.68,0,175
CUST-02029,30,Male,Los Angeles,New,CMP-009,Social Media,2025-08-08,33.63,9069,209,11,1219.81,0,278
CUST-01484,21,Male,New York,At Risk,CMP-009,Social Media,2025-08-08,39.27,8975,188,10,829.21,1,197
CUST-03406,33,Male,Houston,New,CMP-004,Display,2025-03-28,33.68,9019,148,5,445.08,0,326
CUST-01452,60,Female,Chicago,Growing,CMP-003,Social Media,2025-03-05,37.52,8974,275,21,2383.59,1,29
CUST-03965,51,Male,Los Angeles,Loyal,CMP-012,SMS,2025-11-05,13.71,9040,868,163,29244.4,3,58
CUST-04664,53,Female,Los Angeles,New,CMP-008,Paid Search,2025-07-14,39.4,8974,292,30,4045.37,0,360
CUST-01962,50,Male,Seattle,New,CMP-012,SMS,2025-11-05,11.84,9158,606,64,6188.92,0,222
CUST-01105,26,Male,Atlanta,Growing,CMP-004,Display,2025-03-28,27.67,9011,172,10,972.74,2,93
CUST-00184,18,Male,Chicago,At Risk,CMP-002,Paid Search,2025-02-10,21.58,8886,289,22,2950.39,2,163
CUST-03161,21,Female,Chicago,Growing,CMP-005,Affiliate,2025-04-18,26.92,9034,316,33,5058.69,3,80
CUST-01198,37,Male,Chicago,At Risk,CMP-004,Display,2025-03-28,31.99,8851,119,5,410.89,1,198
CUST-00168,41,Female,Denver,Loyal,CMP-009,Social Media,2025-08-08,43.73,8955,336,29,3941.47,7,24
CUST-02408,37,Female,Houston,Growing,CMP-009,Social Media,2025-08-08,41.72,8949,266,19,3304.98,2,59
CUST-04658,40,Female,Los Angeles,Loyal,CMP-001,Email,2025-01-15,16.92,9043,612,91,11516.05,5,34
